index,method,number,orbital_period,mass,distance,year
102,Radial Velocity,2,379.63,21.42,,2009
103,Radial Velocity,2,408.6,2.24,68.54,2004
104,Transit,1,2.797436,,411.0,2011
105,others,1,,,40.85,2006
106,Transit,2,34.921,,,2013
107,Radial Velocity,2,1270.2,3.44,53.82,2007
108,Radial Velocity,1,18.20163,3.7,37.35,1999
109,Radial Velocity,2,53.881,0.06472,32.31,2011
110,Transit,1,3.161575,,,2011
111,Radial Velocity,2,201.83,3.1548,25.7,2008
112,Radial Velocity,6,62.24,0.008,6.8,2013
113,Transit,2,0.853585,,150.0,2009
114,Transit,2,15.5741568,,,2012
115,others,1,,,,2004
116,Radial Velocity,2,342.85,0.6579,32.58,2008
117,Transit,2,42.6318,,2100.0,2011
118,Transit,1,5.452654,,257.0,2011
119,Radial Velocity,1,1966.1,1.34,48.64,2011
120,Radial Velocity,1,493.7,1.1,20.43,2001
121,Radial Velocity,3,2473.0,8.06,64.56,2003
122,Radial Velocity,3,38.021,0.057,8.52,2009
123,Radial Velocity,2,46.025,0.0318,42.52,2011
124,Radial Velocity,1,344.95,3.71,133.16,2003
125,Radial Velocity,1,2288.0,0.82,12.12,2009
126,Transit,2,12.3335,,1200.0,2011
127,Radial Velocity,1,3.51,0.42,28.94,1999
128,others,1,,,19.2,2011
129,Transit,2,16.092,,,2014
130,Transit,2,12.883,,,2012
131,Transit,2,12.04,,,2012
132,Transit,1,1.217514,,262.0,2012
133,Transit,1,4.954658,,140.0,2008
134,Radial Velocity,2,1314.0,2.29,69.44,2010
135,Transit,2,22.951,,,2013
136,Radial Velocity,1,24.348,0.72,19.89,1999
137,Transit,7,210.60697,,780.0,2013
138,Transit,1,2.34121242,,,2010
139,Radial Velocity,3,40.114,0.00755,6.06,2011
140,Radial Velocity,1,407.15,0.0961,15.56,2011
141,others,4,37000.0,,39.94,2008
142,Transit,1,3.852985,,261.0,2007
143,Transit,1,105.599,,600.0,2012
144,Transit,5,7.07142,,,2014
145,Transit,1,3.4059096,,360.0,2010
146,Transit,1,4.4652934,,139.0,2006
147,Transit,1,3.52254,,1330.0,2010
148,Radial Velocity,1,2502.0,1.55,3.22,2000
149,others,1,,,,2010
150,Transit,1,3.5327313,,300.0,2010
151,Transit,3,9.605085,,135.0,2012
152,Transit,1,1.51214,,1340.0,2010
153,Transit,1,1.54168,,,2014
154,Transit,3,35.3331,,,2014
155,Radial Velocity,1,3.48777,,80.0,2000
156,Radial Velocity,2,4970.0,0.36,17.99,2010
157,Transit,1,7.919585,,125.0,2012
158,Radial Velocity,1,4.9437,0.115,40.73,2002
159,others,1,,,52.4,2004
160,Radial Velocity,1,1311.0,1.26,33.29,2002
161,Radial Velocity,1,3827.0,0.48,20.48,2014
162,others,1,,,,2008
163,Transit,1,3.764825,,,2010
164,Transit,1,4.1591399,,200.0,2012
165,Radial Velocity,1,1114.0,0.95,35.0,2002
166,Transit,3,1.865169,,38.7,2011
167,Radial Velocity,4,61.1166,2.2756,4.7,1998
168,Radial Velocity,1,5.3978,0.029,16.82,2008
169,Transit,2,35.736,,,2013
170,Radial Velocity,1,199.505,8.3,102.04,2003
171,Radial Velocity,3,11.577,0.0166,14.56,2011
172,Transit,3,143.34394,,1400.0,2012
173,Radial Velocity,1,951.0,4.5,40.75,2001
174,Transit,4,43.8445,,,2014
175,Transit,2,7.8773565,,,2012
176,Radial Velocity,2,75.29,0.77,69.44,2010
177,Radial Velocity,2,1383.4,2.44,46.34,2004
178,Transit,5,3.6961219,,290.0,2011
179,Transit,7,91.93913,,780.0,2013
180,Transit,3,60.323105,,1400.0,2012
181,Radial Velocity,1,2063.818,10.35,18.21,2001
182,Radial Velocity,1,4.230785,0.472,15.36,1995
183,Radial Velocity,1,696.3,10.7,99.4,2009
184,Transit,1,131.458,,1645.0,2011
185,Radial Velocity,3,51.645,1.8,64.56,2003
186,Transit,2,13.722341,,,2013
187,Radial Velocity,1,655.6,5.1,37.54,2008
188,Transit,1,4.008778,,215.0,2010
189,Radial Velocity,1,777.0,1.96,53.28,2009
190,Transit,1,2.152226,,147.0,2007
191,Transit,1,3.54846,,,2009
192,Transit,1,3.1606296,,1200.0,2013
193,Transit,1,1.7429935,,200.0,2008
194,Radial Velocity,1,952.7,5.3,97.18,2008
195,Transit,1,1.3600309,,93.0,2012
196,Transit,2,8.306,,,2012
197,Radial Velocity,1,423.841,1.28,18.24,2000
198,Radial Velocity,1,1973.0,2.82,55.04,2005
199,others,2,57.011,,855.0,2012
200,Radial Velocity,6,20.432,0.0299,12.83,2008
201,Radial Velocity,2,17.1,0.057,15.89,2005
202,Radial Velocity,1,578.2,,,2012
203,Radial Velocity,1,420.77,1.7,50.0,2007
204,Transit,1,1.7497798,,140.0,2012
205,Transit,1,3.352057,,3200.0,2012
206,Transit,1,3.577469,,343.0,2010
207,Transit,3,2.15491,,,2012
208,Transit,2,21.2227,,,2014
209,Transit,1,2.875317,,70.0,2010
210,Transit,1,1.091423,,,2008
211,Transit,1,3.361006,,,2009
212,Radial Velocity,2,1008.0,6.56,42.68,2009
213,Radial Velocity,1,1155.0,0.36,21.92,2005
214,Transit,1,6.24658,,1030.0,2013
215,Transit,1,1.2198669,,116.14,2010
216,Radial Velocity,1,5.24,0.28,59.03,2005
217,Radial Velocity,1,788.0,0.132,33.96,2009
218,Radial Velocity,2,406.6,1.49,59.03,1999
219,Radial Velocity,1,380.8,1.8,20.21,2010
220,Transit,7,124.9144,,780.0,2013
221,Transit,1,6.871815,,110.0,2010
222,Transit,1,289.8623,,190.0,2011
223,Transit,5,6.098493,,290.0,2011
224,Transit,1,4.641878,,447.0,2012
225,Transit,1,3.67724,,,2007
226,Transit,1,2.455239,,333.0,2011
227,Radial Velocity,1,15.76491,3.91,10.91,1999
228,Radial Velocity,3,1931.0,4.05,47.3,2009
229,Radial Velocity,1,528.07,13.65,31.79,2011
230,Radial Velocity,1,711.0,6.54,66.49,2005
231,Radial Velocity,1,17.24,0.0696,25.54,2008
232,Radial Velocity,1,47.84,0.098,49.33,2009
233,Radial Velocity,1,305.5,20.6,92.51,2013
234,Radial Velocity,1,303.0,5.25,92.51,2003
235,Transit,1,2.150008,,283.0,2011
236,Radial Velocity,2,1178.4,2.1,52.72,2006
237,Transit,1,4.617101,,255.0,2012
238,Transit,1,6.790123,,980.0,2011
239,Transit,5,31.7844,,,2011
240,others,3,25.262,,,1992
241,Radial Velocity,2,621.99,12.47,,2009
242,Radial Velocity,3,34.873,0.054,47.3,2011
243,Transit,2,31.3309,,,2011
244,Transit,3,12.7204,,,2011
245,Radial Velocity,1,116.6884,,18.11,1996
246,Radial Velocity,3,843.6,0.624,33.24,2005
247,Radial Velocity,1,71.484,7.03,46.73,2001
248,others,1,,,1760.0,2013
249,Transit,7,7.008151,,780.0,2013
250,Transit,1,138.317,,1000.0,2012
251,Transit,1,4.457243,,501.0,2012
252,Transit,1,3.92289,,480.0,2008
253,Radial Velocity,2,530.32,,46.84,2012
254,Transit,4,23.9802,,,2014
255,others,1,36525.0,,,2003
256,Transit,1,3.00516,,,2013
257,Transit,1,1.327347,,317.0,2011
258,others,1,4639.15,,12.21,2009
259,Transit,2,8.92507,,,2014
260,others,1,0.09070629,,1200.0,2011
261,Transit,5,13.17562,,,2011
262,Transit,2,49.412,,,2013
263,Transit,1,3.91405,,2000.0,2007
264,Transit,3,27.50868,,,2013
265,Radial Velocity,2,2950.0,3.82,52.83,2008
266,Transit,2,20.8613,,2100.0,2011
267,Radial Velocity,1,2.54858,1.87,36.52,2003
268,Transit,2,17.9801235,,,2012
269,Transit,1,1.5373653,,450.0,2011
270,others,1,,,,2008
271,Radial Velocity,2,25.648,0.027,52.03,2013
272,Transit,5,10.3117,,,2014
273,Radial Velocity,1,2231.0,2.0,28.76,2003
274,Radial Velocity,2,37.91,0.0788,33.98,2008
275,Transit,2,8.1453,,1200.0,2011
276,Transit,2,114.73635,,,2013
277,Radial Velocity,1,3416.0,0.64,4.94,2008
278,Radial Velocity,4,66.8,0.022,6.27,2005
279,Radial Velocity,1,974.0,5.61,70.97,2007
280,Radial Velocity,1,511.098,8.82,31.33,2002
281,others,1,,,,2008
282,Transit,6,22.6845,,613.0,2010
283,others,1,,,17.95,2013
284,others,1,10220.0,6.05,,2009
285,Radial Velocity,1,3630.0,9.61,36.36,2012
286,Radial Velocity,1,647.3,4.0,221.24,2011
287,Transit,1,2.810595,,193.0,2011
288,Radial Velocity,1,2.64385,,10.23,2004
289,Transit,1,4.353011,,155.0,2009
290,Radial Velocity,1,2597.0,1.88,33.01,2004
291,others,1,730000.0,,,2006
292,Radial Velocity,2,607.06,7.4634,25.7,2008
293,Radial Velocity,1,1125.7,9.76,121.36,2008
294,Radial Velocity,1,192.0,6.575,,2013
295,Transit,1,1.4324752,,600.0,2004
296,Radial Velocity,5,4909.0,3.53,12.53,2002
297,Radial Velocity,1,4885.0,3.1,189.39,2009
298,Radial Velocity,4,1276.46,4.132,13.47,1999
299,Transit,2,179.612,,,2014
300,others,1,3500.0,,,2005
301,Transit,1,1.4857108,,800.0,2011
302,Radial Velocity,2,441.47,,27.46,2003
303,Radial Velocity,1,989.2,0.94,17.35,2006
304,Radial Velocity,1,466.2,1.37,22.38,2003
305,Radial Velocity,1,68.27,0.77,65.62,2010
306,Transit,1,2.3114243,,310.0,2013
307,others,1,,,3600.0,2013
308,Radial Velocity,2,3186.0,,46.84,2012
309,Radial Velocity,2,263.3,0.27,15.71,2010
310,Transit,3,29.33434,,1400.0,2012
311,Transit,1,0.78884,,250.0,2009
312,Radial Velocity,2,3.27,0.0351,24.15,2011
313,Radial Velocity,1,176.3,2.9,126.1,2010
314,Radial Velocity,2,30.93,0.076,56.92,2013
315,Transit,5,5.90124,,303.0,2011
316,Transit,2,4.62332,,,2014
317,Transit,5,267.291,,368.0,2013
318,Transit,1,2.2167421,,340.0,2012
319,Radial Velocity,1,1049.0,0.79,45.01,2009
320,others,1,2780.0,,,2011
321,Transit,3,1.2137672,,38.7,2011
322,Transit,1,3.101278,,,2004
323,Transit,1,2.694047,,344.0,2012
324,Radial Velocity,1,3.369,0.76,50.2,2004
325,Radial Velocity,1,526.62,1.56,44.05,2007
326,Transit,3,85.312,,,2012
327,Radial Velocity,1,439.3,0.502,60.46,2005
328,Transit,3,21.301886,,66.0,2013
329,Transit,1,1.62843142,,300.0,2008
330,Radial Velocity,1,17337.5,9.0,23.98,2009
331,Transit,1,59.87756,,,2013
332,Transit,2,13.78164,,,2014
333,Transit,1,17.815815,,1107.0,2013
334,Radial Velocity,2,13.186,0.0263,42.52,2011
335,Transit,5,19.57706,,290.0,2011
336,Radial Velocity,1,1333.0,2.58,32.99,2007
337,others,2,0.240104,,1180.0,2011
338,Transit,2,7.81254,,,2012
339,Radial Velocity,1,1143.0,6.8,28.88,2003
340,Radial Velocity,3,106.72,0.03,14.56,2011
341,Radial Velocity,1,63.33,1.22,44.37,2003
342,Radial Velocity,1,83.888,11.68,40.57,1989
343,Radial Velocity,2,191.99,0.101,38.64,2011
344,Transit,2,2.42629,,,2014
345,Radial Velocity,1,1136.1,5.93,62.11,2002
346,Transit,2,7.053,,,2012
347,Radial Velocity,2,58.11289,8.02,37.88,1998
348,Transit,1,3.234723,,,2009
349,Radial Velocity,1,1290.0,7.8,67.02,2009
350,Radial Velocity,1,2496.0,1.65,55.01,2009
351,Radial Velocity,2,428.5,15.2,214.0,2009
352,Radial Velocity,6,91.61,0.016,6.8,2013
353,Transit,1,8.886593,,,2009
354,Transit,1,3.030065,,152.3,2004
355,Radial Velocity,1,1531.0,6.92,37.44,2002
356,Radial Velocity,1,677.8,19.8,,2007
357,Radial Velocity,2,345.72,1.42,44.8,2009
358,Radial Velocity,1,1294.0,2.1,26.52,2002
359,Radial Velocity,1,25.827,0.178,38.02,2004
360,Radial Velocity,2,194.3,0.85,43.4,2007
361,Radial Velocity,1,5.0505,1.068,44.46,2013
362,others,4,170000.0,,39.94,2008
363,Transit,6,46.6888,,613.0,2010
364,Radial Velocity,3,2391.0,0.54,14.08,2001
365,Radial Velocity,1,912.0,1.8,121.07,2011
366,Transit,2,26.136,,,2013
367,Transit,1,2.47063,,213.0,2006
368,Radial Velocity,2,4270.0,2.6,19.72,2005
369,Radial Velocity,3,14.025,0.0187,25.59,2011
370,Radial Velocity,2,262.709,2.3,37.16,2000
371,Transit,4,9.6739283,,,2012
372,Transit,2,13.485,,,2012
373,Radial Velocity,2,2102.0,4.04,36.32,2003
374,Transit,2,23.08933,,,2014
375,Radial Velocity,2,14.182,0.0325,28.6,2011
376,Transit,1,3.57878087,,570.0,2013
377,Radial Velocity,4,124.26,0.046,4.7,2010
378,Radial Velocity,3,51.284,0.0498,38.01,2011
379,Radial Velocity,1,121.71,1.54,,2014
380,others,1,,,11.43,2010
381,Radial Velocity,2,170.455,0.82,53.82,2008
382,Radial Velocity,1,57.0,0.47,23.8,2010
383,others,1,,,165.0,2007
384,Transit,2,11.776,,,2013
385,Transit,2,45.29485,,173.0,2011
386,Radial Velocity,1,5.7361,,41.27,2012
387,others,4,18000.0,,39.94,2010
388,Transit,2,10.7421,,800.0,2011
389,Radial Velocity,1,1214.0,1.5,89.13,2006
390,Radial Velocity,1,874.774,2.21,56.95,2008
391,others,1,,,131.93,2010
392,Transit,1,4.9816872,,160.0,2012
393,Radial Velocity,1,1544.0,1.49,98.52,2011
394,Radial Velocity,2,937.7,1.24,28.04,2003
395,Transit,5,10.854092,,290.0,2011
396,Transit,3,3.504725,,,2011
397,Transit,1,2.5199449,,408.0,2007
398,others,1,,,,2008
399,Radial Velocity,2,3.93,0.017,43.53,2009
400,Radial Velocity,1,137.48,1.11,175.44,2013
401,Radial Velocity,1,225.7,0.21,29.94,2010
402,Transit,1,9.4341505,,200.0,2013
403,Transit,1,3.24674,,2250.0,2011
404,Transit,1,4.60358,,,2014
405,Radial Velocity,1,472.0,0.58,50.43,2010
406,Radial Velocity,1,1695.0,0.92,42.48,2009
407,Radial Velocity,2,567.0,0.33,43.53,2009
408,Radial Velocity,1,75.523,0.26,35.91,2000
409,Radial Velocity,2,225.62,2.88,36.32,2000
410,Radial Velocity,1,36.96,2.49,93.2,2007
411,Radial Velocity,6,602.0,0.067,39.39,2010
412,Radial Velocity,1,70.46,0.3,30.5,2005
413,Radial Velocity,1,10.8985,0.261,38.56,2002
414,Radial Velocity,1,1319.0,13.0,54.92,2010
415,Radial Velocity,1,26.73,0.71,94.07,2006
416,Radial Velocity,1,418.2,2.51,80.58,2007
417,Radial Velocity,1,2582.7,1.71,47.26,2005
418,Transit,1,3.547851,,453.0,2013
419,Radial Velocity,1,325.81,3.86,32.32,2000
420,Radial Velocity,1,1096.2,0.168,29.55,2011
421,Transit,3,12.8159,,,2014
422,Transit,1,3.7354417,,400.0,2009
423,Radial Velocity,1,279.8,1.37,90.33,2008
424,Transit,2,22.804,,,2013
425,Radial Velocity,1,1159.2,1.373,26.5,2009
426,Radial Velocity,2,2277.0,0.246,38.64,2011
427,Transit,1,2.17517632,,550.0,2012
428,Transit,2,8.041,,,2013
429,Radial Velocity,1,58.43,0.01133,11.15,2011
430,Radial Velocity,1,792.6,,58.17,2012
431,Radial Velocity,1,2.21857578,,19.25,2005
432,Radial Velocity,1,227.0,1.8,44.15,2002
433,Transit,5,22.7802,,303.0,2012
434,Radial Velocity,1,385.9,5.59,39.56,2001
435,Radial Velocity,2,1708.0,1.92,37.16,2002
436,Radial Velocity,2,360.2,2.37,56.5,2012
437,Transit,1,3.7681,,920.0,2011
438,Radial Velocity,1,3.3135,3.9,15.6,1996
439,Radial Velocity,1,1523.0,2.6,44.05,2009
440,Radial Velocity,1,4218.0,1.88,45.52,2009
441,Transit,1,3.652836,,297.0,2010
442,Radial Velocity,2,1022.0,3.4,354.0,2011
443,others,1,,,135.0,2013
444,Transit,6,31.9996,,613.0,2010
445,Transit,3,13.367308,,66.0,2013
446,Transit,1,1.9550959,,230.0,2011
447,Radial Velocity,2,55.0,2.3,42.88,2004
448,Transit,4,13.5708,,,2014
449,Transit,1,4.37809,,330.0,2012
450,Transit,2,26.723,,,2013
451,Transit,1,2.9036747,,345.0,2012
452,Transit,2,16.3850021,,,2012
453,Transit,2,2.91626,,214.0,2009
454,Radial Velocity,6,28.14,0.012,6.8,2011
455,Radial Velocity,1,500.0,1.07,27.13,2002
456,Transit,1,4.4379637,,600.0,2011
457,Radial Velocity,1,3999.0,1.9,50.45,2011
458,Radial Velocity,1,17.991,0.62,42.37,2005
459,Radial Velocity,2,110.9,0.15,59.03,2010
460,Radial Velocity,6,9.6184,0.0208,12.83,2008
461,others,2,1825.0,,,2008
462,others,1,1970.0,,,2010
463,Transit,1,1.5089557,,,2008
464,Transit,1,2.785755,,108.0,2011
465,Radial Velocity,3,31.56,0.038,12.58,2006
466,Radial Velocity,1,2.8758911,,78.86,2005
467,Transit,1,1.9000693,,870.0,2011
468,Transit,1,4.2,,8500.0,2006
469,Transit,1,1.30618581,,228.0,2007
470,Transit,1,3.89713,,770.0,2011
471,Radial Velocity,1,111.7,2.1,14.9,2009
472,others,1,3300.0,,,2006
473,Transit,2,36.855,,,2013
474,Radial Velocity,3,147.73,1.28,52.88,2006
475,Radial Velocity,1,436.9,1.8,150.38,2011
476,Radial Velocity,2,1624.0,0.99,68.54,2005
477,Radial Velocity,1,103.95,5.76,55.19,2008
478,others,2,5767.0,,130.72,2008
479,Radial Velocity,2,825.0,0.895,68.35,2010
480,Radial Velocity,1,15.609,0.0405,21.85,2005
481,Radial Velocity,3,5.6363,0.0117,25.59,2011
482,Radial Velocity,1,5.8881,0.367,53.08,2013
483,Transit,2,5.955,,,2012
484,Radial Velocity,1,331.5,0.96,59.28,2009
485,Transit,3,6.2385,,,2011
486,Transit,1,1.354133,,360.0,2013
487,Radial Velocity,1,1244.0,0.38,68.35,2009
488,Radial Velocity,1,3.33714,,25.2,2012
489,Radial Velocity,1,875.5,9.9,352.11,2012
490,Transit,1,4.1137912,,124.22,2012
491,Transit,1,3.1186009,,,2009
492,Transit,3,7.64159,,,2011
493,Transit,1,2.143634,,,2011
494,others,2,,,4080.0,2012
495,Radial Velocity,2,226.93,0.1872,32.58,2008
496,Radial Velocity,2,4.0845,0.07167,37.84,2008
497,Radial Velocity,2,692.0,1.894,15.1,2007
498,Transit,1,1.4822446,,360.0,2011
499,Radial Velocity,2,454.2,1.45,16.57,2002
500,Radial Velocity,1,6.403,0.23,43.12,2002
501,others,1,,,140.0,2004
502,others,1,1.54492875,,,2013
503,Transit,1,5.723186,,322.0,2011
504,Transit,5,12.4417,,368.0,2013
505,Radial Velocity,1,277.02,1.7,80.64,2013
506,Transit,1,4.640382,,249.0,2012
507,Radial Velocity,1,41.397,0.298,11.03,2010
508,others,1,,,18.39,2006
509,Radial Velocity,1,187.83,,84.03,2012
510,Radial Velocity,1,464.3,2.0,106.38,2009
511,Radial Velocity,1,990.0,4.4,59.84,2009
512,Transit,2,71.312,,,2013
513,Radial Velocity,5,261.2,0.172,12.53,2007
514,Radial Velocity,1,392.6,0.91,,2011
515,Radial Velocity,2,14.3098,0.839,42.43,2000
516,Radial Velocity,1,49.77,0.057,22.09,2009
517,others,1,246.36,,20.77,2013
518,Transit,1,3.553945,,492.0,2007
519,Transit,1,1.846835,,220.0,2007
520,Radial Velocity,2,7.126816,1.39,19.72,1998
521,Transit,2,17.324,,,2013
522,Radial Velocity,5,14.651,0.8,12.53,1996
523,Radial Velocity,1,359.5546,10.57,49.0,2007
524,Radial Velocity,3,274.49,0.0519,38.01,2011
525,Radial Velocity,1,123.0,0.45,43.99,2004
526,Transit,1,3.024095,,1950.0,2011
527,Radial Velocity,2,248.4,1.9,68.59,2013
528,Radial Velocity,1,798.5,,21.41,1996
529,Radial Velocity,1,2.245715,0.45,52.72,2005
530,Transit,1,2.828042,,1150.0,2010
531,Radial Velocity,1,606.4,2.7,37.98,2009
532,Radial Velocity,1,177.11,7.6,150.6,2011
533,Transit,1,4.465633,,330.0,2012
534,Radial Velocity,1,431.8,3.1,167.5,2011
535,Radial Velocity,2,30.052,0.7,52.85,2009
536,Transit,1,288.822,,1499.0,2011
537,Radial Velocity,2,10.866,0.0097,21.52,2011
538,Transit,2,12.0717249,,,2012
539,Radial Velocity,3,8.1352,0.036,25.87,2011
540,Radial Velocity,1,4951.0,6.8,42.77,2012
541,Radial Velocity,1,428.5,8.78,38.52,2009
542,Radial Velocity,1,43.6,0.47,36.14,2008
543,Radial Velocity,2,255.87,17.4,46.34,2002
544,Transit,1,1.796,,8500.0,2006
545,Radial Velocity,2,12.62,1.13,68.59,2013
546,Transit,1,1.58040482,,,2009
547,Radial Velocity,1,327.8,0.6,54.94,2010
548,Radial Velocity,1,383.7,1.16,52.8,2007
549,Transit,1,3.0678504,,60.0,2012
550,Transit,1,3.6623866,,240.0,2012
551,Radial Velocity,2,2500.0,7.0,121.36,2008
552,Radial Velocity,2,44.236,2.12,42.68,2009
553,Transit,1,3.57532,,,2014
554,Transit,2,9.77,,,2012
555,Radial Velocity,4,1.93778,0.021,4.7,2005
556,Radial Velocity,1,118.45,0.65,37.89,2003
557,Radial Velocity,2,3.698,,150.0,2009
558,Radial Velocity,2,11.849,0.0378,43.08,2011
559,Transit,2,33.60134,,855.0,2012
560,Radial Velocity,1,1928.0,5.1,35.87,2005
561,Radial Velocity,1,256.78,8.44,38.99,1999
562,Transit,1,1.43037,,,2011
563,Radial Velocity,1,3638.0,6.9,43.57,2012
564,Transit,2,20.09,,,2012
565,Transit,1,1.2119189,,,2002
566,Radial Velocity,1,1.3283,18.37,43.03,2003
567,Radial Velocity,2,2732.0,2.37,56.5,2012
568,Radial Velocity,2,14.07,0.0413,34.07,2011
569,Radial Velocity,1,1251.0,,31.12,2007
570,Radial Velocity,1,501.75,6.9,,2009
571,Radial Velocity,4,9.6386,,15.28,2004
572,others,1,,,145.0,2013
573,Transit,2,15.9654,,,2014
574,Radial Velocity,1,388.0,9.1,20.98,2005
575,Radial Velocity,1,118.96,1.13,28.07,2000
576,Radial Velocity,1,456.46,1.26,52.63,2004
577,Transit,2,2.50806,,,2014
578,Transit,3,1.592851,,650.0,2010
579,Radial Velocity,1,2082.0,4.5,97.66,2013
580,Transit,2,5.7293196,,,2012
581,Radial Velocity,1,3.52474859,,47.08,1999
582,Radial Velocity,3,603.0,0.079,14.97,2013
583,Radial Velocity,1,264.15,4.01,33.33,2002
584,Transit,2,9.522,,,2012
585,Radial Velocity,2,22.656,0.0322,32.31,2011
586,Radial Velocity,4,3848.86,1.059,13.47,2010
587,others,1,40000.0,,,2011
588,others,2,0.342887,,1180.0,2011
589,Transit,3,8.13123,,,2012
590,others,1,2900.0,,,2011
591,Radial Velocity,1,181.4,3.2,45.52,2013
592,Transit,5,41.02902,,,2011
593,Transit,1,2.4238039,,,2011
594,Radial Velocity,1,104.84,0.12,33.48,2011
